t_days,latitude,longitude,depth,mag,x_km,y_km,zone,time
0.16733275462962963,11.1269,124.6286,9.0,6.5,-23.035055614996438,15.19589999999988,0,2017-07-06 08:03:57.550000+00:00
0.16828449074074076,11.0008,124.7138,10.0,5.3,-13.751296209141527,1.1987999999999666,0,2017-07-06 08:05:19.780000+00:00
0.17211932870370372,11.0782,124.8232,10.0,4.7,-1.8306004462252823,9.790200000000056,0,2017-07-06 08:10:51.110000+00:00
0.17957997685185184,11.3823,125.4831,10.0,4.2,70.07494922423908,43.54530000000006,0,2017-07-06 08:21:35.710000+00:00
0.2700416666666666,11.2456,125.0239,10.0,4.6,20.038537027425537,28.37159999999993,0,2017-07-06 10:31:51.600000+00:00
3.9019469907407403,10.9893,124.784,7.1,5.8,-6.102001487416059,-0.07770000000001609,0,2017-07-10 01:41:48.220000+00:00
4.193320023148148,10.9427,124.5444,10.0,4.6,-32.20985070857708,-5.250299999999989,0,2017-07-10 08:41:22.850000+00:00
15.184974537037037,10.5127,125.7794,111.03,4.2,102.3610749514083,-52.98029999999996,1,2017-07-21 08:29:21.800000+00:00
30.298546180555558,10.1246,125.3412,63.89,4.5,54.61291331237597,-96.05940000000012,0,2017-08-05 11:12:54.390000+00:00
35.286617013888886,11.5183,125.4737,60.19,4.6,69.0506846888514,58.64129999999997,0,2017-08-10 10:55:43.710000+00:00
47.76614155092592,10.9542,124.7072,17.22,5.0,-14.4704606701591,-3.973800000000006,0,2017-08-22 22:26:14.630000+00:00
67.59905081018519,10.9561,125.9192,35.0,4.8,117.594285807495,-3.762900000000103,0,2017-09-11 18:25:37.990000+00:00
72.95675844907407,10.9714,125.7643,47.38,4.5,100.71571383605252,-2.0646000000001177,0,2017-09-17 03:00:43.930000+00:00
76.8865613425926,10.4217,125.5381,95.09,4.6,76.06798639938089,-63.08130000000008,1,2017-09-21 01:19:38.900000+00:00
