rep,scenario,status,n,n_sh,n_ns,true_mu,true_beta,true_Ksh,true_Kns,true_ash,true_ans,true_R,mu_hat,beta_hat,Ksh_hat,Kns_hat,ash_hat,ans_hat,R_hat,ll2,aic2,ll1,aic1,LR,lrt_p,R_lo,R_hi,R_covered,n_boot_ok,ks_p
11,A,ok,311,259,52,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.9569141410195443,4.534980169886934,0.06990793579022726,0.13244074203953068,1.2010235751973155,1.1604770531989118e-05,0.527843129792804,81.68038282400232,-151.36076564800464,80.99538734915751,-153.99077469831502,1.3699909496896225,0.5040925106665045,0.14380011605347312,4306.480595996921,True,35,0.9480410619773455
12,A,ok,255,205,50,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.040752786963969,3.6588119797534864,0.22402131349876547,3.772627457117415e-08,0.8878355741265235,0.00015268697389285072,5938071.438146597,21.372631324402505,-30.74526264880501,18.237561497807405,-28.47512299561481,6.270139653190199,0.04349671649564979,0.18328457555137384,4981.3281434532,True,36,0.6306960150408594
13,A,ok,344,298,46,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.5411723201131156,3.6403878018485964,0.14492877658773703,1.0986258158104626e-07,1.2813112377399531,0.06546105292670834,1319182.3321648622,154.94852029644107,-297.89704059288215,150.35481125850998,-292.70962251701997,9.187418075862183,0.010115270786537511,0.2534029079463588,25.31171535664219,True,32,0.13939183086856632
14,A,ok,316,270,46,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.468886988022973,3.8562535574115584,0.14432632794279945,9.999999999999982e-09,1.4147682249641358,0.008165723960879855,14432632.794279972,103.53751930277815,-195.0750386055563,101.37243331752825,-194.7448666350565,4.330171970499805,0.11474006821966365,0.11516318194579608,477.8823770758348,True,29,0.99838948722806
15,A,ok,324,281,43,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.233014058196228,2.7055588099891326,0.18339447442111298,0.19953137976363952,1.3966126602641633,8.948990356005852e-06,0.9191259772691295,113.79446164688682,-215.58892329377363,111.4597920412408,-214.9195840824816,4.6693392112920264,0.0968424734478126,0.2401030442640725,49.209300877543,True,24,0.9970561421598301
16,A,ok,326,273,53,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.8178815781530067,7.034505138258282,0.10843129890978943,0.007780587319164749,1.4528817087928059,1.334354506328649,13.936132898696085,110.85080990572266,-209.7016198114453,108.12804921137524,-208.25609842275048,5.445521388694829,0.06569314516339719,0.17322917855947884,139.0159374746197,True,30,0.46536449917870504
17,A,ok,313,263,50,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.609135045412504,1.9256757903304382,0.2023899295061996,1.3434598739117917e-07,0.8262131666814629,0.05072731040894545,1506482.8763131932,81.07058941360998,-150.14117882721996,79.28993846408093,-150.57987692816187,3.561301899058094,0.16852840806726743,0.2970306691396361,1172.050682411203,True,31,0.9219361099131513
18,A,ok,316,263,53,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.517433840200835,6.101196343765744,0.19251861240215554,0.022386188219461936,0.930720050195681,2.25,8.59988357619477,104.41486226044407,-196.82972452088813,103.67725842391462,-199.35451684782925,1.4752076730588897,0.4782585292498426,0.17506492086038697,242.74755428923766,True,34,0.7168562891567343
19,A,ok,297,236,61,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.351897313277908,3.7041945902725426,0.14269902538031556,0.12281578649873075,1.3415276161124352,1.28556789839774e-05,1.16189481375662,81.84344062211636,-151.68688124423272,80.44775029570741,-152.89550059141482,2.7913806528179066,0.2476620097161123,0.12908579693072786,175.1380898043104,True,32,0.8069274236317355
20,A,ok,307,259,48,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.401023946334477,2.7494197848323108,0.14860916682375097,0.02163506786781896,1.2394063863152558,2.25,6.86890227161244,84.21732339452439,-156.43464678904877,83.72448813373614,-159.4489762674723,0.9856705215764805,0.6108918986266897,0.3316032876194289,149.83750709625366,True,27,0.9839074366814311
