time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-13T12:33:26.480Z,-42.3547,173.2242,10,4.6,mb,,75,0.241,1.33,us,us10007dbg,2017-02-09T03:02:22.040Z,"97 km NNE of Amberley, New Zealand",earthquake,2.9,1.9,0.136,16,reviewed,us,us
2016-11-13T12:36:35.820Z,-41.4347,173.9698,20.67,5.1,mb,,139,0.288,1.13,us,us10007de4,2017-02-09T03:02:22.040Z,"9 km N of Blenheim, New Zealand",earthquake,7.4,7.9,0.158,13,reviewed,us,us
2016-11-13T12:37:45.390Z,-42.394,173.3656,10,5.2,mb,,99,0.13,0.8,us,us100077a0,2017-02-09T03:02:22.040Z,"99 km NNE of Amberley, New Zealand",earthquake,1.5,1.9,0.153,14,reviewed,us,us
2016-11-13T12:38:38.240Z,-41.7366,174.2555,15.36,5.2,mb,,102,0.033,1.09,us,us100077ad,2017-02-09T03:02:22.040Z,"35 km SE of Blenheim, New Zealand",earthquake,2.1,3.7,0.101,32,reviewed,us,us
2016-11-13T12:40:55.280Z,-42.4841,173.4009,2.5,4.7,mb,,80,0.122,1.04,us,us10007de6,2017-02-09T03:02:22.040Z,"92 km NE of Amberley, New Zealand",earthquake,3,5.1,0.159,12,reviewed,us,us
2016-11-13T12:43:53.050Z,-42.2916,173.2946,11.24,5.1,mb,,84,0.219,0.77,us,us10007dcu,2017-02-09T03:02:22.040Z,"101 km SSE of Wakefield, New Zealand",earthquake,3.8,5.8,0.18,10,reviewed,us,us
2016-11-13T12:45:10.040Z,-42.445,173.2099,7.25,4.3,mb,,97,0.245,0.55,us,us10007de8,2017-02-09T03:02:22.040Z,"88 km NNE of Amberley, New Zealand",earthquake,3.1,6.6,0.238,5,reviewed,us,us
2016-11-13T12:45:42.260Z,-41.7893,174.0972,8.65,4.9,mb,,105,0.096,0.37,us,us10007dca,2017-02-09T03:02:22.040Z,"32 km SSE of Blenheim, New Zealand",earthquake,11.8,7.4,0.145,15,reviewed,us,us
2016-11-13T12:46:30.310Z,-41.7588,174.2554,14.67,4.6,mb,,104,0.287,0.91,us,us10007de7,2017-02-09T03:02:22.040Z,"36 km SE of Blenheim, New Zealand",earthquake,4.1,6.8,0.165,11,reviewed,us,us
2016-11-13T12:52:19.290Z,-42.2331,173.6385,6.02,4.7,mb,,118,0.547,0.44,us,us100077a8,2017-02-09T03:02:22.040Z,"83 km SSW of Blenheim, New Zealand",earthquake,2,5.5,0.208,7,reviewed,us,us
2016-11-13T12:52:54.430Z,-42.1944,173.7986,10,4.9,mb,,75,0.293,1.13,us,us10007dcv,2017-02-09T03:02:22.040Z,"76 km S of Blenheim, New Zealand",earthquake,3.7,1.6,0.126,20,reviewed,us,us
